# =================================================
# Logitech stuff
# =================================================

logitech_num_DG                                  Multiwiniáns seleccionados:
editor_createnewlocation                         Crear Nuevo Lugar
editor_savelocations                             Guardar Lugares

editor_cameramounts                              Posiciones de Cámara
editor_cameraanims                               Animaciones de Cámara
editor_cameraanim                                Animación de Cámara
editor_createnewmount                            Crear Nueva Posición
editor_goto                                      Ir a
editor_update                                    Actualizar
editor_del                                       Supr

editor_buildings                                 Edificios
editor_buildingid                                ID Edificio
editor_link                                      Enlace
editor_dynamic                                   Dinámico
editor_isglobal                                  Es Global
editor_buildingtype                              Tipo de Edificio
editor_createbuilding                            Crear Edificio

editor_spirits                                   Espíritus
editor_targetlocation                            Lugar Objetivo
editor_scale                                     Escala
editor_mode                                      Modo
editor_disabling                                 Deshabilitando
editor_enabling                                  Habilitando
editor_enabled                                   Habilitado
editor_disabled                                  Deshabilitado
editor_numants                                   Nº Hormigas
editor_capacity                                  Capacidad
editor_entitytype                                Tipo de Entidad
editor_toggledby                                 ActivadoPor
editor_research                                  Investigación
editor_level                                     Nivel
editor_pitch                                     Inclinación
editor_force                                     Fuerza
editor_variance                                  Variación
editor_reload                                    Recarga
editor_usetrigger                                UtilizarActivación
editor_triggerX                                  ActivaciónX
editor_triggerZ                                  ActivaciónZ
editor_triggerrad                                RadioDeActivación
editor_altitude                                  Altitud
editor_segment                                   Segmento
editor_count                                     Recuento
editor_period                                    Periodo
editor_searchradius                              RadioDeBúsqueda
editor_maxpopulation                             PoblaciónMáx
editor_clearlinks                                Borrar Enlaces
editor_range                                     Alcance
editor_script                                    Script
editor_always                                    Siempre
editor_never                                     Nunca
editor_cameraenter                               Entrada de Cámara
editor_cameraview                                Vista de Cámara
editor_shape                                     Forma
editor_fuel                                      Combustible
editor_passengers                                Pasajeros
editor_spawnport                                 Puerto de Generación
editor_requiredscore                             Puntuación Necesaria
editor_pointspersec                              PuntosPorSegundo
editor_minlinks                                  NodosActivosMínimos
editor_powerlink1                                Torre Eléctrica 1
editor_powerlink2                                Torre Eléctrica 2
editor_spawnlimit                                Generaciones Máximas
editor_leafdrop                                  Ritmo de Caída de Hojas
editor_spiritdrop                                Ritmo de Caída de Espíritus
editor_neveron                                   Nunca Activado
editor_alwayson                                  Siempre Activado
editor_switchonce                                Encender Una Vez
editor_priority                                  Modificador de Prioridad
editor_forceconnection                           Conexión de Fuerza
editor_autoconnect                               Conectar Automáticamente
editor_master                                    Maestro
editor_timer                                     Temporizador
editor_runastask                                 Ejecutar como Tarea
editor_turrettype                                Tipo de Torreta

spawnname_spawnvirii                             GenerarVirus
spawnname_spawncentipedes                        GenerarCiempiés
spawnname_spawnspider                            GenerarArañas
spawnname_spawnspirits                           GenerarEspíritus
spawnname_spawneggs                              GenerarHuevos
spawnname_spawntriffideggs                       GenerarHuevosDeTrífido
spawnname_spawndarwinians                        GenerarDarwinianos


# =================================================
# Building Names
# =================================================

buildingname_invalid                             NoVálido
buildingname_factory                             Fábrica
buildingname_cave                                Cova
buildingname_radardish                           AntenaRadar
buildingname_laserfence                          BarreiraLáser
buildingname_controltower                        TorreDeControl
buildingname_gunturret                           Cañón
buildingname_bridge                              Ponte
buildingname_powerstation                        CentralEnerxética
buildingname_tree                                Árbol
buildingname_wall                                Muro
buildingname_trunkport                           PortoTroncal
buildingname_researchitem                        Investigación
buildingname_library                             Biblioteca
buildingname_generator                           Xenerador
buildingname_pylon                               TorreEléctrica
buildingname_pylonstart                          TorreEléctricaInicio
buildingname_pylonend                            TorreEléctricaFinal
buildingname_solarpanel                          PanelSolar
buildingname_tracklink                           VíaEnlace
buildingname_trackjunction                       VíaEmpalme
buildingname_trackstart                          VíaInicio
buildingname_trackend                            VíaFinal
buildingname_refinery                            Refinería
buildingname_mine                                Mina
buildingname_yard                                Taller
buildingname_displayscreen                       PantallaDeVisualización
buildingname_upgradeport                         PuertoDeMejoras
buildingname_primaryupgrade                      MejoraPrimaria
buildingname_incubator                           Incubadora
buildingname_anthill                             Formigueiro
buildingname_safearea                            ÁreaSegura
buildingname_triffid                             Trífido
buildingname_spiritreceiver                      ReceptorDeEspíritus
buildingname_receiverlink                        EnlaceReceptor
buildingname_spiritspawner                       GeneradorDeEspíritus
buildingname_spiritprocessor                     ProcesadorDeEspíritus
buildingname_spawnpoint                          PuntoDeXeración
buildingname_spawnpopulationlock                 BloqueoDeXeraciónDePoboación
buildingname_spawnpointmaster                    PuntoMaestroDeXeración
buildingname_spawnlink                           EnlaceDeXeración
buildingname_aitarget                            ObxectivoIA
buildingname_aispawnpoint                        PuntoDeGeneraciónIA
buildingname_blueprintstore                      DepósitoDeProxectos
buildingname_blueprintconsole                    ConsolaDeProxectos
buildingname_blueprintrelay                      RepetidorDeProyectos
buildingname_scripttrigger                       ActivadorDeScripts
buildingname_spam                                Spam
buildingname_goddish                             AntenaDeDeus
buildingname_staticshape                         FormaEstática

buildingname_rocketturret                        Lanzafoguetes
buildingname_grenadeturret                       TorretadeGranada
buildingname_flameturret                         Botafumeiros
buildingname_grenadeturret                       TorretadeGranada
buildingname_subversionturret                    Torreta de Subversión


# =================================================
# Bootloaders
# =================================================

bootloader_amiga                                 .                Darwinia - Versión Final               Craqueado por      DMA Crew            He estado programando durante 38 horas seguidas para hacer que este crack funcionara. Acabo de escribir esta introducción a toda prisa. Siento que sea un poco estúpida pero sólo le he dedicado 12 minutos. He estado bebiendo café y Red Bull todo el día, creo que mis lóbulos frontales están sangrando. Recuerdos para Alistair, Chris, Jo, Johnny, Mark, Michael, Tom y todos los beta testers. Más recuerdos para el difunto Jay Miner por crear Amiga y a todos los programadores de demos de todas partes por enseñarle al resto del mundo para lo que sirven realmente los ordenadores.        Nos veremos de nuevo en la próxima publicación de DMA Crew...

bootloader_credits_1                             Creado por
bootloader_credits_2                             Chris Delay
bootloader_credits_3                             Andrew Bainbridge
bootloader_credits_4                             Producido por
bootloader_credits_5                             Introversion Software
bootloader_credits_6                             Mark Morris
bootloader_credits_7                             Thomas Arundel
bootloader_credits_8                             Chris Delay
bootloader_credits_9                             John Knottenbelt
bootloader_credits_10                            Diseño y Producción de Sonido
bootloader_credits_11                            Alistair Lindsay
bootloader_credits_12                            Michael Maidment
bootloader_credits_13                            Música
bootloader_credits_14                            Trash80
bootloader_credits_15                            www.trash80.net
bootloader_credits_16                            Música del Tema Introductorio
bootloader_credits_17                            Mathieu Stempell
bootloader_credits_18                            (Dma-Sc)
bootloader_credits_19                            Música Adicional
bootloader_credits_20                            Paul Slocum
bootloader_credits_21                            Protagonizado por
bootloader_credits_22                            Peter Hutchison
bootloader_credits_23                            como el Dr. Sepulveda
bootloader_credits_24                            y Maddie la gata
bootloader_credits_25                            como la voz de los darwinianos.
bootloader_credits_26                            Formas adicionales
bootloader_credits_27                            Michelle Jones
bootloader_credits_28                            Kelvin Liew
bootloader_credits_29                            Diseño gráfico adicional
bootloader_credits_30                            Jo Stansfield
bootloader_credits_31                            Adaptaciones para Mac y Linux
bootloader_credits_32                            John Knottenbelt
bootloader_credits_33                            Distribución en el Reino Unido
bootloader_credits_34                            Pinnacle Software
bootloader_credits_35                            Editor para Mac
bootloader_credits_36                            Ambrosia Software
bootloader_credits_37                            Beta Testers
bootloader_credits_38                            DARWINIA
bootloader_credits_39                            Un mundo onírico digital
bootloader_credits_40                            de Introversion Software
bootloader_credits_41                            Desarrollo Adicional
bootloader_credits_42                            Gary Chambers
bootloader_credits_43                            Stepan Hbrek
bootloader_credits_44                            James Lawton

bootloader_fodder_1                              Este juego no está respaldado
bootloader_fodder_2                              de ninguna forma por
bootloader_fodder_3                              SENSIBLE SOFTWARE

bootloader_life                                  EL JUEGO DE LA VIDA
bootloader_life_1                                Estos patrones complejos de comportamiento surgen de un
bootloader_life_2                                conjunto muy simple de reglas básicas, que todos los darwinianos de la colonia siguen.
bootloader_life_3                                Dichas reglas se basan en el famoso 'Juego de la Vida' diseñado por John Conway.
bootloader_life_4                                - Tres darwinianos agrupados EN torno a una celda vacía crearán Un nuevo Darwiniano EN dicha celda
bootloader_life_5                                - Un darwiniano en una celda con 2 ó 3 vecinos vivirá una vida feliz y sociable
bootloader_life_6                                - Un darwiniano en una celda con 1 único vecino o sin ninguno morirá siendo un alma solitaria
bootloader_life_7                                - Un darwiniano con 4 vecinos o más morirá de hambre
bootloader_life_8                                - (añadida) Un darwiniano tiene una vida máxima de 50 años
bootloader_life_9                                Los darwinianos vivirán durante muchos años felices y prósperos según este sencillo sistema.
bootloader_life_10                               La regla final que rige la edad es única en Darwinia y, a pesar de que la colonia puede vivir
bootloader_life_11                               durante muchos cientos de años, esta cruel adición es el toque funesto,
bootloader_life_12                               que garantiza la eventual extinción de toda la tribu.
bootloader_life_13                               Todos los miembros del Proyecto Darwin de Vida Digital acordaron que a los darwinianos
bootloader_life_14                               se les debe enseñar el concepto de su propia mortalidad a la primera ocasión posible.
bootloader_life_15                               Pulsa g para regenerar
bootloader_life_16a                              Música de Paul Slocum
bootloader_life_16b                              (http://qotile.net/)
bootloader_life_17                               Edad de la colonia en años:
bootloader_life_18                               Pulsa h para recibir ayuda

bootloader_raytrace_1                            No te asustes, el juego comenzará en breves momentos,
bootloader_raytrace_2                            pero antes de comenzar pensamos que
bootloader_raytrace_3                            despertaríamos tu apetito con un
bootloader_raytrace_4                            programa de trazado de rayos jejeje :)
bootloader_raytrace_5                            Introversion manda un saludo a DMA_SC
bootloader_raytrace_6                            por permitirnos utilizar su magnífica pista
bootloader_raytrace_7                            al estilo de los viejos tiempos llamada
bootloader_raytrace_8                            VISITORS FROM DREAMS
bootloader_raytrace_9                            Pulsa h para recibir ayuda

bootloader_raytrace_10                           AYUDA DEL PROGRAMA DE TRAZADO DE RAYOS
bootloader_raytrace_11                           Resolución
bootloader_raytrace_12                           Reflejo
bootloader_raytrace_13                           Onda de Píxeles
bootloader_raytrace_14                           Desenfoque por Movimiento
bootloader_raytrace_15                           Desenfoque de Píxeles
bootloader_raytrace_16                           Brillo
bootloader_raytrace_17                           Cámara Estática
bootloader_raytrace_18                           Cámara Controlable
bootloader_raytrace_19                           Cámara Giratoria
bootloader_raytrace_20                           Girar Fuente de Luz
bootloader_raytrace_21                           Girar Cámara
bootloader_raytrace_22                           Movimiento Horizontal de Cámara
bootloader_raytrace_23                           Movimiento Vertical de Cámara

bootloader_soul_0                                thinking
bootloader_soul_1                                feeling
bootloader_soul_2                                judgement
bootloader_soul_3                                perception
bootloader_soul_4                                sensation
bootloader_soul_5                                intuition
bootloader_soul_6                                extroversion
bootloader_soul_7                                introversion
bootloader_soul_8                                INTROVERSION SOFTWARE
bootloader_soul_9                                Diseño de videojuegos con alma


# =================================================
# Multiwinia
# =================================================

teamtype_0                                       Jugador Local
teamtype_1                                       Jugador Remoto
teamtype_2                                       (CPU)
teamtype_left                                    (QUEDAN)
teamtype_demo									 (DEMO)

multiwinia_gametype                              Tipo de Partida

multiwinia_open_or_cpu                           Abierta/CPU

multiwinia_mapname                               UBICACIÓN
multiwinia_playtime                              TEMPO
multiwinia_difficulty                            DIFICULTADE
multiwinia_players                               EQUIPOS
multiwinia_coop                                  COOPERACIÓN
multiwinia_gamemode                              TIPO DE PARTIDA

multiwinia_complexity_basic                      Baja
multiwinia_complexity_intermediate               Media
multiwinia_complexity_advanced                   Alta

multiwinia_select_session_type_title             Selecionar tipo de partida
multiwinia_session_type_xblas                    Live Arcade (predeterminado)
multiwinia_session_type_xblar                    Live Arcade (igualada)
multiwinia_session_type_syslnk                   Interconexión
multiwinia_session_type_split                    Pantalla partida

multiwinia_signin_title                          Rexistrarse
multiwinia_signin_xbla                           Rexistrarse en Live Arcade

multiwinia_join_game_title                       Búsqueda de partida
multiwinia_setup_quick_match                     Partida rápida

multiwinia_teamscores                            RESULTADOS DE EQUIPO
multiwinia_teamscores_assault                    OBXECTIVOS
multiwinia_gameover                              FIN DA PARTIDA
multiwinia_spacetoexit                           Pulsa ESC para saír
multiwinia_atoexit                               Pulsa START para saír
multiwinia_spacetostart                          PULSA ESPACIO CANDO ESTEAS LISTO
multiwinia_atostart                              PULSA A PARA COMEZAR A PARTIDA
multiwinia_gamestarttimer                        A PARTIDA COMENZA EN *T
multiwinia_waitingforplayers                     ESPERANDO XOGADORES
multiwinia_ready                                 LISTO
multiwinia_readycpu                              LISTO (CPU)
multiwinia_isthewinner                           *T é o GAÑADOR
multiwinia_reinforcements                        Reforzos en *S
multiwinia_retribution_timer                     Retribución en *S
multiwinia_retribution_maxtasks                  Retribución: dous melloras máx.
multiwinia_spawnmania_timer                      XERACIÓN MANÍA: *T
multiwinia_blitzkrieg_timer                      MEGA RABIA: *T
multiwinia_tiegame                               É un EMPATE!
multiwinia_cooppoints                            *T  *S puntos

multiwinia_confirmexit                           Abandonar esta partida?
multiwinia_confirmreset                          Reiniciar este perfil?

multiwinia_team_green                            Verde
multiwinia_team_red                              Vermello
multiwinia_team_yellow                           Amarelo
multiwinia_team_blue                             Azul
multiwinia_team_orange                           Laranxa
multiwinia_team_pink                             Rosa
multiwinia_team_purple                           Púrpura
multiwinia_team_cyan                             Cian
multiwinia_team_virus                            Malvadiniáns
multiwinia_team_future                           Futurowiniáns

multiwinia_retribution                           Retribución!
multiwinia_suddendeath                           Morte Súbita!

multiwinia_player_left                           *T abandonou a partida!
multiwinia_exclamation                           *T!

# Scoreline
multiwinia_estimated_score                       (est *T)
multiwinia_fuel_pressure                         (+*T psi)

# =================================================
# Buy Now
# =================================================

multiwinia_buynow_1                              * ¡6 modos de juego diferentes con objetivos y desafíos únicos!
multiwinia_buynow_2                              * ¡Más de 40 niveles diferentes!
multiwinia_buynow_3                              * ¡Hasta 4 jugadores en línea!
multiwinia_buynow_4                              * ¡Alíate en niveles de cooperación contra el ordenador o contra otros jugadores!
multiwinia_buynow_5                              * Con más de 30 tipos de mejora y penalización. ¡Va a ser una masacre!

# multiwinia_buynow                   * 6 different game modes with unique goals and challenges!\n* Over 40 different levels!\n* Up to 4 Players online!\n* Team up in co-operative levels against the computer or other players!
multiwinia_buynow                                Seis modos de juego diferentes:\n\n* DOMINACIÓN\n* REY DE LA COLINA\n* CAPTURA LA ESTATUA\n* ASALTO\n* DISTURBIO DE MISIL\n* ATAQUE RELÁMPAGO\n\n* Incluidos cerca de 50 niveles\n* Hasta 4 jugadores en línea\n* Modo multijugador cooperativo
multiwinia_buy_prices                            Activación inmediata tras la compra\nNo se necesitan más descargas


# =================================================
# PDLC needed
# =================================================
multiwinia_pdlc_1                                Necesitas más contenido descargable
multiwinia_pdlc_2                                para jugar en este servidor.
multiwinia_pdlc_3                                ¿Te gustaría descargarlos ahora
multiwinia_pdlc_4                                o volver al menú principal?

# =================================================
# Multiwinia Menus
# =================================================

multiwinia_mainmenu_title                        MULTIWINIA
multiwinia_mainmenu_title360                     DARWINIA+
multiwinia_mainmenu_title_darwinia               DARWINIA
multiwinia_mainmenu_subtitle                     A supervivencia do máis plano
multiwinia_mainmenu_subtitle_darwinia            Un paisaxe onírico digital
multiwinia_menu_mainmenutitle                    Menú principal
multiwinia_menu_choosegame                       Selecionar partida
multiwinia_menu_singleplayergame                 Partida dun xogador
multiwinia_menu_multiplayergame                  Partida de multixogador
multiwinia_menu_rollingdemo                      Demo continua
multiwinia_menu_leaderboards                     Marcadores
multiwinia_menu_achievements                     Logros
multiwinia_menu_crates                           Información sobre cajas
multiwinia_menu_help                             Axuda
multiwinia_menu_options                          Opcións
multiwinia_menu_unlockfullgame                   Desbloquear xogo completo
multiwinia_menu_buyfullgame                      Comprar xogo completo
multiwinia_menu_buypdlc                          Descargar PDLC
multiwinia_menu_nopdlc                           Non hai PDLC instalado
multiwinia_menu_clickpdlc                        Comprar PDLC
multiwinia_menu_quit                             Abandonar
multiwinia_menu_returntoarcade                   Volver a Arcade
multiwinia_menu_helpandoptions                   Ayuda e Opcións
multiwinia_menu_settings                         Axustes
multiwinia_menu_howtoplay                        Cómo xogar
multiwinia_menu_cratehelp                        Información sobre caixas
multiwinia_menu_controls                         Controis
multiwinia_menu_selecthelp                       Selecionar Ayuda
multiwinia_menu_not_got_maplist1                 Cargando información de mapa
multiwinia_menu_not_got_maplist2                 Por favor, agarda
multiwinia_menu_play_demo                        Xogar á Demo

multiwinia_menu_returntogame                     Reanudar partida

multiwinia_menu_darwiniainfo                     Un mundo onírico dun xogador
multiwinia_menu_darwiniainfo_mp                  Só un xogador
multiwinia_menu_multiwiniainfo_sp                Escaramuza contra a CPU
multiwinia_menu_multiwiniainfo_mp                Caos de multixogador masivo

multiwinia_neworjoin_title                       MULTIXOGADOR
multiwinia_singleplayer_title                    UN XOGADOR
multiwinia_menu_joingame                         Unirse a partida
multiwinia_menu_hostgame                         Albergar partida
multiwinia_menu_back                             Volver
multiwinia_menu_quickstart                       Partida rápida
multiwinia_menu_leavegame                        Abandonar partida

multiwinia_gameselect_title                      Selecionar partida
multiwinia_menu_addaiplayer                      Añadir xogador IA
multiwinia_menu_coop                             Partida de coperación
multiwinia_menu_singleround                      Só ronda única
multiwinia_menu_aimode                           Tipo IA

multiwina_playername_default                     NovoXogador

multiwinia_menu_gameselection                    Seleción de partida
multiwinia_menu_darwiniatutorial                 Tutorial
multiwinia_menu_prologue                         Prólogo
multiwinia_menu_campaign                         Campaña
multiwinia_menu_tutorial                         Tutorial Multiwinia
multiwinia_menu_tutorial_short                   Tutoriais
multiwinia_menu_versuscpu                        Multiwinia contra CPU
multiwinia_menu_launchpad                        Darwinia: Plataforma de lanzamento

multiwinia_menu_tutorial1                        Parte 1: elementos básicos
multiwinia_menu_tutorial2                        Parte 2: conceptos avanzados

multiwinia_tutorialinfo_basic                    Unha partida sencilla do modo Rei da Colina, nun mapa básico para 2 xogadores.
multiwinia_tutorialinfo_advanced                 Unha partida do modo Rei da Colina para 3 xogadores, que presenta algúns dos aspectos máis avanzados do xogo.

multiwinia_menu_tutorial1_xbox                   Tutorial 1: O Básico
multiwinia_menu_tutorial2_xbox                   Tutorial 2: Conceptos Avanzados

multiwinia_menu_views                            Ver
multiwinia_menu_boards                           Marcador
multiwinia_menu_friends                          Amigos
multiwinia_menu_myscore                          A miña puntuación
multiwinia_menu_overall                          Total
multiwinia_menu_alllevels                        Todos los niveles
multiwinia_menu_allgames                         Todas las partidas
multiwinia_menu_quickmatch                       Partida rápida
multiwinia_menu_createsession                    Crear partida
multiwinia_menu_createprivatesession             Crear partida privada
multiwinia_menu_custommatch                      Partida personalizada
multiwinia_menu_playermatch                      Partida de jugador
multiwinia_menu_rankedmatch                      Partida igualada

multiwinia_menu_play                             Xogar
multiwinia_menu_advanceoptions                   Opcións avanzadas
multiwinia_menu_invite                           Invitar
multiwinia_menu_ready                            Listo
multiwinia_menu_serverpassword                   Clave do Servidor
multiwinia_menu_connect                          Conectar
multiwinia_enterpassword                         Introduce a Clave

multiwinia_menu_done                             Feito

multiwinia_join_host                             Anfitrión
multiwinia_join_map                              Nome de mapa
multiwinia_join_type                             Modo
multiwinia_join_players                          Xogadores
multiwinia_join_address                          Direción

multiwinia_menu_searching                        Buscando partidas

multiwinia_leaderboard_rank                      Clasificación
multiwinia_leaderboard_name                      Gamertag
multiwinia_leaderboard_score                     Puntos
multiwinia_leaderboard_loading                   Cargando
multiwinia_leaderboard_failed                    Non se pudo cargar o marcador
multiwinia_leaderboard_empty                     Non hai datos de marcador
multiwinia_leaderboard_rankzero                  No jugado aún
multiwinia_leaderboard_weekly_yes                Mostrar todas las estadísticas
multiwinia_leaderboard_weekly_no                 Mostrar las estadísticas semanales
multiwinia_leaderboard_showing                   Mostrando filas de *R a *S de *T entradas totales
multiwinia_leaderboards_tslb                     Clasificaciones TrueSkill™
multiwinia_leaderboards_tsr                      Clasificación TrueSkill™
multiwinia_leaderboards_sp_title                 Clasificaciones
multiwinia_leaderboards_cpu_title                Multiwinia (CPU)
multiwinia_leaderboards_mpr_title                Multiwinia (igualada)
multiwinia_leaderboards_mpn_title                Multiwinia (estándar)
multiwinia_leaderboards_sp_extra0                Más muertos: *K
multiwinia_leaderboards_sp_extra1                Más supervivientes: *S
multiwinia_leaderboards_sp_extra2                Soldados mínimos: *T
multiwinia_leaderboards_mp_extra0                Muertos: *K
multiwinia_leaderboards_mp_extra1                Superviventes: *S
multiwinia_leaderboards_mp_extra2                Tempo de xoego: *T
multiwinia_leaderboards_cpus_beaten              *A CPUs derrotados
multiwinia_leaderboards_ppl_beaten               A* humanos derrotados


multiwinia_multiplayer_no                        Non tés os permisos adecuados para xogar a Multixogador

multiwinia_auth                                  Verificación
multiwinia_enterauthkey                          Introducir clave de verificación
multiwinia_menu_paste                            Pegar
multiwinia_menu_paste_tooltip                    Pegar a clave da tabla

multiwinia_playeroptions                         Opcións de xogador
multiwinia_player_name                           Nome de xogador

multiwinia_colour_green                          Verde
multiwinia_colour_red                            Vermello
multiwinia_colour_yellow                         Amarelo
multiwinia_colour_blue                           Azul
multiwinia_colour_orange                         Laranxa
multiwinia_colour_cyan                           Cian
multiwinia_colour_purple                         Púrpura
multiwinia_colour_pink                           Rosa

multiwinia_menu_resettodefault                   Restablecer predeterminado

multiwinia_menu_normal                           Normal
multiwinia_menu_hard                             Difícil
multiwinia_menu_joining                          Uníndose á partida
multiwinia_menu_connecting                       Conectando
multiwinia_menu_attempts                         (Intento *T)
multiwinia_menu_connected                        CONECTADO
multiwinia_menu_resyncing                        Establecendo comunicación *T%

multiwinia_menu_filters                          Filtros
multiwinia_menu_showdemogames                    Mostrar partidas demo
multiwinia_menu_showincompatible                 Mostrar partidas incompatibles
multiwinia_menu_showfull                         Mostrar partidas completas
multiwinia_menu_showcustom                       Mostrar mapas personalizados 
multiwinia_menu_showpasswords                    Mostrar partidas con clave

multiwinia_update_available                      Actualización dispoñible
multiwinia_menu_autopatch                        Executar autoparche

multiwinia_passwordrequired                      Necesítase unha clave para unirse a este servidor.\nIntroduza a Clave
multiwinia_clicktokick                           Pulsar para expulsar ó xogador

multiwinia_editor_mapfilename                    Nombre de archivo do mapa
multiwinia_editor_create                         Crear mapa novo
multiwinia_editor_edit                           Editar mapa existente
multiwinia_editor_change                         Cambiar mapa
multiwinia_editor_nomapselected                  Non hai mapa selecionado
multiwinia_editor_current                        Mapa actual:
multiwinia_editor_selectmap                      Selecionar mapa
multiwinia_editor_mapexists                      Xa existe un mapa con este nome de archivo.
multiwinia_editor_mapcreated                     O mapa *F se creouse con éxito
multiwinia_editor_success                        Éxito

multiwinia_player_join                           *P uniuse á partida
multiwinia_player_leave                          *P abandonou a partida

dialog_tied_1                                    Empatado para primeiro!
dialog_tied_2                                    Empatado para segundo!
dialog_tied_3                                    Empatado para terceiro!
dialog_tied_4                                    Empatado para cuarto!
dialog_tied_5                                    Empatado para quinto!


# ======================================================
# Control Help
# ======================================================

multiwinia_control_select                        selecionar
multiwinia_control_promote                       ascender
multiwinia_control_move                          mover
multiwinia_control_order                         enviar
multiwinia_control_follow                        seguir
multiwinia_control_none                          ningún
multiwinia_control_noorder                       sen órdenes
multiwinia_control_place                         ubicar
multiwinia_control_formation                     formar
multiwinia_control_destroy                       destruir
multiwinia_control_unload                        descargar
multiwinia_control_load                          cargar
multiwinia_control_close                         cerrar
multiwinia_control_laser                         láseres
multiwinia_control_grenade                       granada

multiwinia_cratepowerupfound                     caixa aberta
multiwinia_reinforcementsgiven                   reforzos
multiwinia_retributiongiven                      retribución
multiwinia_deselect                              pulsa espacio para anular a seleción
multiwinia_deselect_xbox                         pulsa botón b para anular a seleción
multiwinia_rmbhelp                               Botón dereito do ratón para mover\npulsa espacio para anular a seleción
multiwinia_officerterminate                      pulsa c para eliminar a unha unidade
multiwinia_officerterminate_xbox                 pulsa b para eliminar a unha unidade
multiwinia_rmbhelp_xbox                          Pulsa x para mover\npulsa b para anular a seleción
multiwinia_armourtoggle                          Fai clic co botón dereito para cambiar de orden
multiwinia_armourtoggle_xbox                     Pulsa x para cambiar de orden
multiwinia_shiftspeedhelp                        Mantén pulsada MAYÚSCULAS para moverte máis rápido


# ======================================================
# Crates
# ======================================================

# *P is replaced with the type of powerup
crate_enemycapture                               *T ha recollido unha Caixa!
crate_capture                                    Caixa aberta: *P

cratename_squad                                  Escuadra
cratename_harvester                              Recolector
cratename_engineer                               Enxeneiro
cratename_armour                                 Armadura
cratename_airstrike                              Ataque Aéreo
cratename_nuke                                   Bomba Nuclear
cratename_darwinians                             Multiwiniáns
cratename_personalshield                         Escudo Persoal
cratename_subversion                             Subversión
cratename_hotfeet                                Pés Quentes
cratename_gunturret                              Torreta de Armas
cratename_infection                              Infeción
cratename_magicalforest                          Bosque Máxico
cratename_randomiser                             Aleatorio
cratename_antnest                                Formigueiro
cratename_plague                                 Plaga
cratename_eggs                                   Ovos
cratename_meteor                                 Meteorito
cratename_darkforest                             Bosque Escuro
cratename_cratemania                             Caixamanía
cratename_spawnmania                             Xeneramanía
cratename_bitzkreig                              Mega Rabia
cratename_formationbooster                       Acelerador de Formación
cratename_rocketwinians                          Foguetewiniáns
cratename_fireextinguisher                       Extintor
cratename_rage                                   Rabia
cratename_tank                                   Tanque
cratename_rocketturret                           Lanzafoguetes
cratename_flameturret                            Botafumeiro
cratename_spaceship                              Nave Espacial
cratename_triffids                               Trífidos
cratename_napalmstrike                           Ataque de Napalm
cratename_slowdown                               Aminorar
cratename_speedup                                Acelerar
cratename_thebeast                               A Besta

# *T is replaced with the team name - this must be preserved in the string
crate_message_auto_napalm                        Napalm. Un montón de Napalm.
crate_message_run_napalm                         Qué delicia cheirar napalm poña mañá!
crate_message_auto_airstrike                     Ataque Aéreo inminente!
crate_message_run_airstrike                      *T lanza un Ataque Aéreo!
crate_message_auto_nuke                          Descarga de Bombas Nucleares inminente!
crate_message_run_nuke                           *T lanza una descarga de Bombas Nucleares!
crate_message_run_subversion                     *T executa Subversión!
crate_message_run_personalshield                 *T executa Escudo Persoal!
crate_message_run_hotfeet                        *T executa Pés Quentes!
crate_message_auto_infection                     Brote de Infección!
crate_message_run_darkforest                     *T planta un Bosque Oscuro!
crate_message_run_antnest                        *T crea un Formigueiro!
crate_message_auto_plague                        Brote de Plaga!
crate_message_auto_eggs                          Generación de Ovo!
crate_message_run_eggs                           *T crea algúns ovos!
crate_message_run_meteor                         *T provoca unha Chuvia de Meteoritos!
crate_message_darwinians                         *T recibe Reforzos!
crate_message_formationbooster                   *T recibe un Acelerador de Formación!
crate_message_rocketwinians                      *T recibe Foguetewiniáns!
crate_message_rage                               *T executa unha Rabia!
crate_message_spaceship                          Futurowiniáns!
crate_message_slowdown                           Aminooooraaaa...
crate_message_speedup                            Acelera!
crate_message_thebeast                           Xa chega A Besta!

crate_tooltip_squad                              Soldados moi armados que seguen as túas ordes durante 60 segundos
crate_tooltip_harvester                          Suciona almas mortas e as convirte en Multiwiniáns nun punto de xeración próximo
crate_tooltip_engineer                           Recolle almas dos Multiwiniáns caídos e os fai renacer nun punto de xeración próximo
crate_tooltip_armour                             Transporte de tropas de alta velocidade que pode atravesar calquera terreo
crate_tooltip_darkforest                         Árbores malditas e retorcidas que consumen as almas dos Multiwiniáns que estén cerca
crate_tooltip_magicalforest                      Crea un bosque de árbores fluorescentes
crate_tooltip_egg                                Crea un número de ovos dos que saldrán monstros; pode que sexan amistosos
crate_tooltip_fireextinguisher                   Apaga a calquera Multiwinián en chamas da zona
crate_tooltip_flameturret                        Lanzachamas de corto alcance controlado polos Multiwiniáns
crate_tooltip_gunturret                          Cañón de alta potencia controlado por Multiwiniáns
crate_tooltip_rocketturret                       Lanzafoguetes de medio alcance controlado polos Multiwiniáns
crate_tooltip_hotfeet                            Duplica a velocidade dos teus Multiwiniáns durante un tempo limitado
