# =================================================
# Logitech stuff
# =================================================

logitech_num_DG                                  Multiwinianos seleccionados:

intro_ambrosia_1                                 Versión para Mac OS X Publicada por
intro_ambrosia_2                                 Ambrosia Software

intro_bootloader                                 Mostrar Intro de la Primera Vez

# =================================================
# Outro
# =================================================

outro_biosphere_1                                No creo que los darwinianos olviden de verdad lo que ha sucedido.
outro_biosphere_1b                               De hecho, creo que éste llegará a ser un momento determinante en su historia.
outro_biosphere_2                                Ahora son mucho más ambiciosos, audaces, fuertes e inteligentes de lo que lo han sido nunca. Pero se ha perdido su inocencia.
outro_biosphere_2b                               La batalla en la Biosfera es sin duda el capítulo más oscuro de la historia de Darwinia hasta la fecha.
outro_biosphere_3                                La horrible pérdida de vidas en un periodo de tiempo tan corto, y el mismo concepto de darwinianos luchando y matando a su propia gente, hace que sea especialmente sobrecogedor para mí.

outro_receiver_1                                 De todos los que murieron, los darwinianos que cayeron bajo los Destructores de Almas seguirán vivos en la memoria de los supervivientes durante más tiempo.
outro_receiver_2                                 Sus Almas se han perdido irreparablemente, sin posibilidad de esperar una vida después de la muerte o un renacimiento.
outro_receiver_3                                 Sus espíritus rotos continuarán vagando por los lugares en los que cayeron, hasta el fin del mundo.
outro_receiver_4                                 Por eso, los darwinianos entienden ahora, por primera vez creo, lo que realmente significa morir para uno de ellos.

outro_containment_1                              Mi sueño es que Darwinia continúe evolucionando y creciendo, mucho tiempo después de que yo me haya ido.
outro_containment_1b                             Comencé el proyecto Darwin de Vida Digital hace más de una década, y he trabajado en él todos y cada uno de los días, sumido en una auténtica soledad durante todo este tiempo…
outro_containment_2                              ...sólo para que el trabajo de mi vida haya sido salvado hoy por un completo extraño.
outro_containment_3                              Quiero que me ayudes a continuar mi trabajo. Estoy transmitiéndote un perfil que te dará acceso a todos los lugares de Darwinia.
outro_containment_4                              Ahora tengo claro que no soy ya capaz de llevar Darwinia yo solo. Quiero proporcionarte las herramientas que he utilizado para construir este mundo.
outro_containment_5                              Quiero que me ayudes a concluirlo.

outro_10                                         Estoy transmitiendo a tu ordenador permisos para poder acceder al Editor del Mundo, que es la herramienta que he utilizado para construir todos los lugares que has visto hasta ahora. Puedes acceder a él desde el Menú Principal cuando te encuentres en el Cielo.
outro_11                                         También estoy transmitiendo un nuevo perfil de usuario a tu sistema, que he llamado Acceso a Todas las Áreas. Puedes cargarlo desde el menú de Perfiles y servirá para darte acceso completo a todos los lugares que has visitado en Darwinia.

outro_1                                          Cuando pienso en todas las historias y leyendas que se deben haber creado desde que tuvo lugar este brote, me asusta.
outro_2                                          Me temo que los darwinianos tienen una memoria muy larga. Todavía cuentan lúgubres historias sobre la isla que se perdió durante la caída del Servidor el año pasado.
outro_3                                          No sé exactamente cuál es el efecto que esta guerra tendrá sobre los darwinianos. Y no sé lo que querrán hacer después.
outro_4                                          Pero lo que sí sé es que nuestras acciones aquí seguirán vivas en los cuentos y el folklore, durante las generaciones venideras de darwinianos.


# =================================================
# Editor strings
# =================================================

editor_savesettings                              Guardar Configuración
editor_generate                                  Generar
editor_randomise                                 Aleatorio
editor_clone                                     Clonar
editor_delete                                    Borrar
editor_deletenow                                 ¡BORRAR!
editor_size                                      Tamaño
editor_height                                    Altura
editor_width                                     Anchura
editor_depth                                     Profundidad
editor_seed                                      Semilla
editor_move                                      Mover
editor_rotate                                    Girar

editor_mainedit                                  Editor Principal
editor_editlandtiles                             Editar Secciones Terrestres
editor_editflattenareas                          Editar Zonas Llanas
editor_editlights                                Editar Luces
editor_editbuildings                             Editar Edificios
editor_editinstantunits                          Editar Unidades Iniciales
editor_editcameramounts                          Editar Posición de Cámaras
editor_save                                      Guardar

editor_landscape                                 Terreno
editor_landscapetile                             Sección de Terreno
editor_guidegrid                                 Cuadrícula de Referencia
editor_noiseperiod                               Periodo del Ruido
editor_noisescale                                Escala del Ruido
editor_method                                    Método
editor_lowlandsmooth                             Suavizado de Tierras Bajas
editor_posX                                      PosX
editor_posY                                      PosY
editor_posZ                                      PosZ
editor_newtile                                   Nueva Sección
editor_newflattenarea                            Nueva Zona Llana
editor_scaledown                                 Reducir Tamaño
editor_scaleup                                   Aumentar Tamaño
editor_outsideheight                             Altura Exterior
editor_cellsize                                  Tamaño de Celda
editor_worldsizeX                                Tamaño del Mundo X
editor_worldsizeZ                                Tamaño del Mundo Z
editor_movebuildings                             Mover Edificios
editor_popcap                                    Capacidad de Población
editor_numplayers                                Número de Jugadores
editor_evil                                      Mal

editor_resolution                                Resolución
editor_toolsize                                  Tamaño de Herramienta
editor_freehand                                  Mano Alzada
editor_flatten                                   Nivelar
editor_binary                                    Binario

editor_treeditor                                 Editor de Árboles
editor_clonesimilar                              Clonar Similar
editor_branchcolour                              Color Ramas
editor_leafcolour                                Color Hojas
editor_budsize                                   Frondosidad
editor_pushup                                    Altura Ramas
editor_pushout                                   Extensión Ramas
editor_iterations                                Iteraciones

editor_lights                                    Luces
editor_newlight                                  Nueva Luz
editor_deselectlights                            Cancelar Selección de Luces
editor_selectlight                               Seleccionar Luz
editor_adjustbrightness                          Ajustar Brillo

editor_instantunits                              Unidades Iniciales
editor_instantuniteditor                         Editor de Unidades Iniciales
editor_numentities                               Nº de Entidades
editor_spread                                    Extensión
editor_inunit                                    En Unidad

editor_coloureditor                              Editor de Colores
editor_red                                       Rojo
editor_green                                     Verde
editor_blue                                      Azul
editor_alpha                                     Alfa

editor_toggleeditor                              Activar/Desactivar Editor

editor_globalworldeditor                         Editor Global del Mundo
editor_editlocations                             Editar Lugares
editor_movelocations                             Mover Lugares
editor_createnewlocation                         Crear Nuevo Lugar
editor_savelocations                             Guardar Lugares

editor_cameramounts                              Posiciones de Cámara
editor_cameraanims                               Animaciones de Cámara
editor_cameraanim                                Animación de Cámara
editor_createnewmount                            Crear Nueva Posición
editor_goto                                      Ir a
editor_update                                    Actualizar
editor_del                                       Supr

editor_buildings                                 Edificios
editor_buildingid                                ID Edificio
editor_link                                      Enlace
editor_dynamic                                   Dinámico
editor_isglobal                                  Es Global
editor_buildingtype                              Tipo de Edificio
editor_createbuilding                            Crear Edificio

editor_spirits                                   Espíritus
editor_targetlocation                            Lugar Objetivo
editor_scale                                     Escala
editor_mode                                      Modo
editor_disabling                                 Deshabilitando
editor_enabling                                  Habilitando
editor_enabled                                   Habilitado
editor_disabled                                  Deshabilitado
editor_numants                                   Nº Hormigas
editor_capacity                                  Capacidad
editor_entitytype                                Tipo de Entidad
editor_toggledby                                 ActivadoPor
editor_research                                  Investigación
editor_level                                     Nivel
editor_pitch                                     Inclinación
editor_force                                     Fuerza
editor_variance                                  Variación
editor_reload                                    Recarga
editor_usetrigger                                UtilizarActivación
editor_triggerX                                  ActivaciónX
editor_triggerZ                                  ActivaciónZ
editor_triggerrad                                RadioDeActivación
editor_altitude                                  Altitud
editor_segment                                   Segmento
editor_count                                     Recuento
editor_period                                    Periodo
editor_searchradius                              RadioDeBúsqueda
editor_maxpopulation                             PoblaciónMáx
editor_clearlinks                                Borrar Enlaces
editor_range                                     Alcance
editor_script                                    Script
editor_always                                    Siempre
editor_never                                     Nunca
editor_cameraenter                               Entrada de Cámara
editor_cameraview                                Vista de Cámara
editor_shape                                     Forma
editor_fuel                                      Combustible
editor_passengers                                Pasajeros
editor_spawnport                                 Puerto de Generación
editor_requiredscore                             Puntuación Necesaria
editor_pointspersec                              PuntosPorSegundo
editor_minlinks                                  NodosActivosMínimos
editor_powerlink1                                Torre Eléctrica 1
editor_powerlink2                                Torre Eléctrica 2
editor_spawnlimit                                Generaciones Máximas
editor_leafdrop                                  Ritmo de Caída de Hojas
editor_spiritdrop                                Ritmo de Caída de Espíritus
editor_neveron                                   Nunca Activado
editor_alwayson                                  Siempre Activado
editor_switchonce                                Encender Una Vez
editor_priority                                  Modificador de Prioridad
editor_forceconnection                           Conexión de Fuerza
editor_autoconnect                               Conectar Automáticamente
editor_master                                    Maestro
editor_timer                                     Temporizador
editor_runastask                                 Ejecutar como Tarea
editor_turrettype                                Tipo de Torreta

spawnname_spawnvirii                             GenerarVirus
spawnname_spawncentipedes                        GenerarCiempiés
spawnname_spawnspider                            GenerarArañas
spawnname_spawnspirits                           GenerarEspíritus
spawnname_spawneggs                              GenerarHuevos
spawnname_spawntriffideggs                       GenerarHuevosDeTrífido
spawnname_spawndarwinians                        GenerarDarwinianos


# =================================================
# Building Names
# =================================================

buildingname_invalid                             NoVálido
buildingname_factory                             Fábrica
buildingname_cave                                Cueva
buildingname_radardish                           AntenaRadar
buildingname_laserfence                          BarreraLáser
buildingname_controltower                        TorreDeControl
buildingname_gunturret                           Cañón
buildingname_bridge                              Puente
buildingname_powerstation                        CentralEnergética
buildingname_tree                                Árbol
buildingname_wall                                Muro
buildingname_trunkport                           PuertoTroncal
buildingname_researchitem                        Investigación
buildingname_library                             Biblioteca
buildingname_generator                           Generador
buildingname_pylon                               TorreEléctrica
buildingname_pylonstart                          TorreEléctricaInicio
buildingname_pylonend                            TorreEléctricaFinal
buildingname_solarpanel                          PanelSolar
buildingname_tracklink                           VíaEnlace
buildingname_trackjunction                       VíaEmpalme
buildingname_trackstart                          VíaInicio
buildingname_trackend                            VíaFinal
buildingname_refinery                            Refinería
buildingname_mine                                Mina
buildingname_yard                                Taller
buildingname_displayscreen                       PantallaDeVisualización
buildingname_upgradeport                         PuertoDeMejoras
buildingname_primaryupgrade                      MejoraPrimaria
buildingname_incubator                           Incubadora
buildingname_anthill                             Hormiguero
buildingname_safearea                            ÁreaSegura
buildingname_triffid                             Trífido
buildingname_spiritreceiver                      ReceptorDeEspíritus
buildingname_receiverlink                        EnlaceReceptor
buildingname_spiritspawner                       GeneradorDeEspíritus
buildingname_spiritprocessor                     ProcesadorDeEspíritus
buildingname_spawnpoint                          PuntoDeGeneración
buildingname_spawnpopulationlock                 BloqueoDeGeneraciónDePoblación
buildingname_spawnpointmaster                    PuntoMaestroDeGeneración
buildingname_spawnlink                           EnlaceDeGeneración
buildingname_aitarget                            ObjetivoIA
buildingname_aispawnpoint                        PuntoDeGeneraciónIA
buildingname_blueprintstore                      DepósitoDeProyectos
buildingname_blueprintconsole                    ConsolaDeProyectos
buildingname_blueprintrelay                      RepetidorDeProyectos
buildingname_scripttrigger                       ActivadorDeScripts
buildingname_spam                                Spam
buildingname_goddish                             AntenaDeDios
buildingname_staticshape                         FormaEstática

buildingname_rocketturret                        TorretadeMisil
buildingname_grenadeturret                       TorretadeGranada
buildingname_flameturret                         TorretadeLlama
buildingname_grenadeturret                       TorretadeGranada
buildingname_subversionturret                    Torreta de Subversión


# =================================================
# Bootloaders
# =================================================

bootloader_amiga                                 .                Darwinia - Versión Final               Craqueado por      DMA Crew            He estado programando durante 38 horas seguidas para hacer que este crack funcionara. Acabo de escribir esta introducción a toda prisa. Siento que sea un poco estúpida pero sólo le he dedicado 12 minutos. He estado bebiendo café y Red Bull todo el día, creo que mis lóbulos frontales están sangrando. Recuerdos para Alistair, Chris, Jo, Johnny, Mark, Michael, Tom y todos los beta testers. Más recuerdos para el difunto Jay Miner por crear Amiga y a todos los programadores de demos de todas partes por enseñarle al resto del mundo para lo que sirven realmente los ordenadores.        Nos veremos de nuevo en la próxima publicación de DMA Crew...

bootloader_credits_1                             Creado por
bootloader_credits_2                             Chris Delay
bootloader_credits_3                             Andrew Bainbridge
bootloader_credits_4                             Producido por
bootloader_credits_5                             Introversion Software
bootloader_credits_6                             Mark Morris
bootloader_credits_7                             Thomas Arundel
bootloader_credits_8                             Chris Delay
bootloader_credits_9                             John Knottenbelt
bootloader_credits_10                            Diseño y Producción de Sonido
bootloader_credits_11                            Alistair Lindsay
bootloader_credits_12                            Michael Maidment
bootloader_credits_13                            Música
bootloader_credits_14                            Trash80
bootloader_credits_15                            www.trash80.net
bootloader_credits_16                            Música del Tema Introductorio
bootloader_credits_17                            Mathieu Stempell
bootloader_credits_18                            (Dma-Sc)
bootloader_credits_19                            Música Adicional
bootloader_credits_20                            Paul Slocum
bootloader_credits_21                            Protagonizado por
bootloader_credits_22                            Peter Hutchison
bootloader_credits_23                            como el Dr. Sepulveda
bootloader_credits_24                            y Maddie la gata
bootloader_credits_25                            como la voz de los darwinianos.
bootloader_credits_26                            Formas adicionales
bootloader_credits_27                            Michelle Jones
bootloader_credits_28                            Kelvin Liew
bootloader_credits_29                            Diseño gráfico adicional
bootloader_credits_30                            Jo Stansfield
bootloader_credits_31                            Adaptaciones para Mac y Linux
bootloader_credits_32                            John Knottenbelt
bootloader_credits_33                            Distribución en el Reino Unido
bootloader_credits_34                            Pinnacle Software
bootloader_credits_35                            Editor para Mac
bootloader_credits_36                            Ambrosia Software
bootloader_credits_37                            Beta Testers
bootloader_credits_38                            DARWINIA
bootloader_credits_39                            Un mundo onírico digital
bootloader_credits_40                            de Introversion Software
bootloader_credits_41                            Desarrollo Adicional
bootloader_credits_42                            Gary Chambers
bootloader_credits_43                            Stepan Hbrek
bootloader_credits_44                            James Lawton

bootloader_fodder_1                              Este juego no está respaldado
bootloader_fodder_2                              de ninguna forma por
bootloader_fodder_3                              SENSIBLE SOFTWARE

bootloader_life                                  EL JUEGO DE LA VIDA
bootloader_life_1                                Estos patrones complejos de comportamiento surgen de un
bootloader_life_2                                conjunto muy simple de reglas básicas, que todos los darwinianos de la colonia siguen.
bootloader_life_3                                Dichas reglas se basan en el famoso 'Juego de la Vida' diseñado por John Conway.
bootloader_life_4                                - Tres darwinianos agrupados EN torno a una celda vacía crearán Un nuevo Darwiniano EN dicha celda
bootloader_life_5                                - Un darwiniano en una celda con 2 ó 3 vecinos vivirá una vida feliz y sociable
bootloader_life_6                                - Un darwiniano en una celda con 1 único vecino o sin ninguno morirá siendo un alma solitaria
bootloader_life_7                                - Un darwiniano con 4 vecinos o más morirá de hambre
bootloader_life_8                                - (añadida) Un darwiniano tiene una vida máxima de 50 años
bootloader_life_9                                Los darwinianos vivirán durante muchos años felices y prósperos según este sencillo sistema.
bootloader_life_10                               La regla final que rige la edad es única en Darwinia y, a pesar de que la colonia puede vivir
bootloader_life_11                               durante muchos cientos de años, esta cruel adición es el toque funesto,
bootloader_life_12                               que garantiza la eventual extinción de toda la tribu.
bootloader_life_13                               Todos los miembros del Proyecto Darwin de Vida Digital acordaron que a los darwinianos
bootloader_life_14                               se les debe enseñar el concepto de su propia mortalidad a la primera ocasión posible.
bootloader_life_15                               Pulsa g para regenerar
bootloader_life_16a                              Música de Paul Slocum
bootloader_life_16b                              (http://qotile.net/)
bootloader_life_17                               Edad de la colonia en años:
bootloader_life_18                               Pulsa h para recibir ayuda

bootloader_raytrace_1                            No te asustes, el juego comenzará en breves momentos,
bootloader_raytrace_2                            pero antes de comenzar pensamos que
bootloader_raytrace_3                            despertaríamos tu apetito con un
bootloader_raytrace_4                            programa de trazado de rayos jejeje :)
bootloader_raytrace_5                            Introversion manda un saludo a DMA_SC
bootloader_raytrace_6                            por permitirnos utilizar su magnífica pista
bootloader_raytrace_7                            al estilo de los viejos tiempos llamada
bootloader_raytrace_8                            VISITORS FROM DREAMS
bootloader_raytrace_9                            Pulsa h para recibir ayuda

bootloader_raytrace_10                           AYUDA DEL PROGRAMA DE TRAZADO DE RAYOS
bootloader_raytrace_11                           Resolución
bootloader_raytrace_12                           Reflejo
bootloader_raytrace_13                           Onda de Píxeles
bootloader_raytrace_14                           Desenfoque por Movimiento
bootloader_raytrace_15                           Desenfoque de Píxeles
bootloader_raytrace_16                           Brillo
bootloader_raytrace_17                           Cámara Estática
bootloader_raytrace_18                           Cámara Controlable
bootloader_raytrace_19                           Cámara Giratoria
bootloader_raytrace_20                           Girar Fuente de Luz
bootloader_raytrace_21                           Girar Cámara
bootloader_raytrace_22                           Movimiento Horizontal de Cámara
bootloader_raytrace_23                           Movimiento Vertical de Cámara

bootloader_soul_0                                thinking
bootloader_soul_1                                feeling
bootloader_soul_2                                judgement
bootloader_soul_3                                perception
bootloader_soul_4                                sensation
bootloader_soul_5                                intuition
bootloader_soul_6                                extroversion
bootloader_soul_7                                introversion
bootloader_soul_8                                INTROVERSION SOFTWARE
bootloader_soul_9                                Diseño de videojuegos con alma


# =================================================
# Multiwinia
# =================================================

teamtype_0                                       Jugador Local
teamtype_1                                       Jugador Remoto
teamtype_2                                       (CPU)
teamtype_left                                    (QUEDAN)
teamtype_demo									 (DEMO)

multiwinia_gametype                              Tipo de Partida

multiwinia_open_or_cpu                           Abierta/CPU

multiwinia_mapname                               UBICACIÓN
multiwinia_playtime                              TIEMPO
multiwinia_difficulty                            DIFICULTAD
multiwinia_players                               EQUIPOS
multiwinia_coop                                  COOPERACIÓN
multiwinia_gamemode                              TIPO DE PARTIDA

multiwinia_complexity_basic                      Baja
multiwinia_complexity_intermediate               Media
multiwinia_complexity_advanced                   Alta

multiwinia_select_session_type_title             Seleccionar tipo de partida
multiwinia_session_type_xblas                    Live Arcade (predeterminado)
multiwinia_session_type_xblar                    Live Arcade (igualada)
multiwinia_session_type_syslnk                   Interconexión
multiwinia_session_type_split                    Pantalla partida

multiwinia_signin_title                          Registrarse
multiwinia_signin_xbla                           Registrarse en Live Arcade

multiwinia_join_game_title                       Búsqueda de partida
multiwinia_setup_quick_match                     Partida rápida

multiwinia_teamscores                            RESULTADOS DE EQUIPO
multiwinia_teamscores_assault                    OBJETIVOS
multiwinia_gameover                              FIN DE LA PARTIDA
multiwinia_spacetoexit                           Pulsa ESC para salir
multiwinia_atoexit                               Pulsa START para salir
multiwinia_spacetostart                          PULSA ESPACIO CUANDO ESTÉS LISTO
multiwinia_atostart                              PULSA A PARA COMENZAR LA PARTIDA
multiwinia_gamestarttimer                        LA PARTIDA COMIENZA EN *T
multiwinia_waitingforplayers                     ESPERANDO JUGADORES
multiwinia_ready                                 LISTO
multiwinia_readycpu                              LISTO (CPU)
multiwinia_isthewinner                           *T es el GANADOR
multiwinia_reinforcements                        Refuerzos en *S
multiwinia_retribution_timer                     Retribución en *S
multiwinia_retribution_maxtasks                  Retribución: dos mejoras máx.
multiwinia_spawnmania_timer                      GENERACIÓN MANÍA: *T
multiwinia_blitzkrieg_timer                      MEGA RABIA: *T
multiwinia_tiegame                               ¡Es un EMPATE!
multiwinia_cooppoints                            *T  *S puntos

multiwinia_confirmexit                           ¿Abandonar esta partida?
multiwinia_confirmreset                          ¿Reiniciar este perfil?

multiwinia_team_green                            Verde
multiwinia_team_red                              Rojo
multiwinia_team_yellow                           Amarillo
multiwinia_team_blue                             Azul
multiwinia_team_orange                           Naranja
multiwinia_team_pink                             Rosa
multiwinia_team_purple                           Púrpura
multiwinia_team_cyan                             Cian
multiwinia_team_virus                            Malvadinianos
multiwinia_team_future                           Futurowinianos

multiwinia_retribution                           ¡Retribución!
multiwinia_suddendeath                           ¡Muerte Súbita!

multiwinia_player_left                           ¡*T abandonó la partida!
multiwinia_exclamation                           ¡*T!

# Scoreline
multiwinia_estimated_score                       (est *T)
multiwinia_fuel_pressure                         (+*T psi)

# =================================================
# Buy Now
# =================================================

multiwinia_buynow_1                              * ¡6 modos de juego diferentes con objetivos y desafíos únicos!
multiwinia_buynow_2                              * ¡Más de 40 niveles diferentes!
multiwinia_buynow_3                              * ¡Hasta 4 jugadores en línea!
multiwinia_buynow_4                              * ¡Alíate en niveles de cooperación contra el ordenador o contra otros jugadores!
multiwinia_buynow_5                              * Con más de 30 tipos de mejora y penalización. ¡Va a ser una masacre!

# multiwinia_buynow                   * 6 different game modes with unique goals and challenges!\n* Over 40 different levels!\n* Up to 4 Players online!\n* Team up in co-operative levels against the computer or other players!
multiwinia_buynow                                Seis modos de juego diferentes:\n\n* DOMINACIÓN\n* REY DE LA COLINA\n* CAPTURA LA ESTATUA\n* ASALTO\n* DISTURBIO DE MISIL\n* ATAQUE RELÁMPAGO\n\n* Incluidos cerca de 50 niveles\n* Hasta 4 jugadores en línea\n* Modo multijugador cooperativo
multiwinia_buy_prices                            Activación inmediata tras la compra\nNo se necesitan más descargas


# =================================================
# PDLC needed
# =================================================
multiwinia_pdlc_1                                Necesitas más contenido descargable
multiwinia_pdlc_2                                para jugar en este servidor.
multiwinia_pdlc_3                                ¿Te gustaría descargarlos ahora
multiwinia_pdlc_4                                o volver al menú principal?

# =================================================
# Multiwinia Menus
# =================================================

multiwinia_mainmenu_title                        MULTIWINIA
multiwinia_mainmenu_title360                     DARWINIA+
multiwinia_mainmenu_title_darwinia               DARWINIA
multiwinia_mainmenu_subtitle                     La supervivencia del más plano
multiwinia_mainmenu_subtitle_darwinia            Un paisaje onírico digital
multiwinia_menu_mainmenutitle                    Menú principal
multiwinia_menu_choosegame                       Seleccionar partida
multiwinia_menu_singleplayergame                 Partida de jugador único
multiwinia_menu_multiplayergame                  Partida de multijugador
multiwinia_menu_rollingdemo                      Demo continua
multiwinia_menu_leaderboards                     Marcadores
multiwinia_menu_achievements                     Logros
multiwinia_menu_crates                           Información sobre cajas
multiwinia_menu_help                             Ayuda
multiwinia_menu_options                          Opciones
multiwinia_menu_unlockfullgame                   Desbloquear juego completo
multiwinia_menu_buyfullgame                      Comprar juego completo
multiwinia_menu_buypdlc                          Descargar PDLC
multiwinia_menu_nopdlc                           No hay PDLC instalado
multiwinia_menu_clickpdlc                        Comprar PDLC
multiwinia_menu_quit                             Abandonar
multiwinia_menu_returntoarcade                   Volver a Arcade
multiwinia_menu_helpandoptions                   Ayuda y Opciones
multiwinia_menu_settings                         Ajustes
multiwinia_menu_howtoplay                        Cómo jugar
multiwinia_menu_cratehelp                        Información sobre cajas
multiwinia_menu_controls                         Controles
multiwinia_menu_selecthelp                       Seleccionar Ayuda
multiwinia_menu_not_got_maplist1                 Cargando información de mapa
multiwinia_menu_not_got_maplist2                 Por favor, espera
multiwinia_menu_play_demo                        Jugar a la Demo

multiwinia_menu_returntogame                     Reanudar partida

multiwinia_menu_darwiniainfo                     Un mundo onírico de un jugador
multiwinia_menu_darwiniainfo_mp                  Sólo un jugador
multiwinia_menu_multiwiniainfo_sp                Escaramuza contra la CPU
multiwinia_menu_multiwiniainfo_mp                Caos de multijugador masivo

multiwinia_neworjoin_title                       MULTIJUGADOR
multiwinia_singleplayer_title                    UN JUGADOR
multiwinia_menu_joingame                         Unirse a partida
multiwinia_menu_hostgame                         Albergar partida
multiwinia_menu_back                             Volver
multiwinia_menu_quickstart                       Partida rápida
multiwinia_menu_leavegame                        Abandonar partida

multiwinia_gameselect_title                      Seleccionar partida
multiwinia_menu_addaiplayer                      Añadir jugador AI
multiwinia_menu_coop                             Partida de cooperación
multiwinia_menu_singleround                      Sólo ronda única
multiwinia_menu_aimode                           Tipo AI

multiwina_playername_default                     NuevoJugador

multiwinia_menu_gameselection                    Selección de partida
multiwinia_menu_darwiniatutorial                 Tutorial
multiwinia_menu_prologue                         Prólogo
multiwinia_menu_campaign                         Campaña
multiwinia_menu_tutorial                         Tutorial Multiwinia
multiwinia_menu_tutorial_short                   Tutoriales
multiwinia_menu_versuscpu                        Multiwinia contra CPU
multiwinia_menu_launchpad                        Darwinia: Plataforma de lanzamiento

multiwinia_menu_tutorial1                        Parte 1: elementos básicos
multiwinia_menu_tutorial2                        Parte 2: conceptos avanzados

multiwinia_tutorialinfo_basic                    Una partida sencilla del tipo Rey de la Colina, en un mapa básico para 2 jugadores.
multiwinia_tutorialinfo_advanced                 Una partida del tipo Rey de la Colina para 3 jugadores, que presenta algunos de los aspectos más avanzados del juego.

multiwinia_menu_tutorial1_xbox                   Tutorial 1: Lo Básico
multiwinia_menu_tutorial2_xbox                   Tutorial 2: Conceptos Avanzados

multiwinia_menu_views                            Ver
multiwinia_menu_boards                           Marcador
multiwinia_menu_friends                          Amigos
multiwinia_menu_myscore                          Mi puntuación
multiwinia_menu_overall                          Total
multiwinia_menu_alllevels                        Todos los niveles
multiwinia_menu_allgames                         Todas las partidas
multiwinia_menu_quickmatch                       Partida rápida
multiwinia_menu_createsession                    Crear partida
multiwinia_menu_createprivatesession             Crear partida privada
multiwinia_menu_custommatch                      Partida personalizada
multiwinia_menu_playermatch                      Partida de jugador
multiwinia_menu_rankedmatch                      Partida igualada

multiwinia_menu_play                             Jugar
multiwinia_menu_advanceoptions                   Opciones avanzadas
multiwinia_menu_invite                           Invitar
multiwinia_menu_ready                            Listo
multiwinia_menu_serverpassword                   Clave del Servidor
multiwinia_menu_connect                          Conectar
multiwinia_enterpassword                         Introduce la Clave

multiwinia_menu_done                             Hecho

multiwinia_join_host                             Anfitrión
multiwinia_join_map                              Nombre de mapa
multiwinia_join_type                             Modo
multiwinia_join_players                          Jugadores
multiwinia_join_address                          Dirección

multiwinia_menu_searching                        Buscando partidas

multiwinia_leaderboard_rank                      Clasificación
multiwinia_leaderboard_name                      Gamertag
multiwinia_leaderboard_score                     Puntos
multiwinia_leaderboard_loading                   Cargando
multiwinia_leaderboard_failed                    No se pudo cargar el marcador
multiwinia_leaderboard_empty                     No hay datos de marcador
multiwinia_leaderboard_rankzero                  No jugado aún
multiwinia_leaderboard_weekly_yes                Mostrar todas las estadísticas
multiwinia_leaderboard_weekly_no                 Mostrar las estadísticas semanales
multiwinia_leaderboard_showing                   Mostrando filas de *R a *S de *T entradas totales
multiwinia_leaderboards_tslb                     Clasificaciones TrueSkill™
multiwinia_leaderboards_tsr                      Clasificación TrueSkill™
multiwinia_leaderboards_sp_title                 Clasificaciones
multiwinia_leaderboards_cpu_title                Multiwinia (CPU)
multiwinia_leaderboards_mpr_title                Multiwinia (igualada)
multiwinia_leaderboards_mpn_title                Multiwinia (estándar)
multiwinia_leaderboards_sp_extra0                Más muertos: *K
multiwinia_leaderboards_sp_extra1                Más supervivientes: *S
multiwinia_leaderboards_sp_extra2                Soldados mínimos: *T
multiwinia_leaderboards_mp_extra0                Muertos: *K
multiwinia_leaderboards_mp_extra1                Supervivientes: *S
multiwinia_leaderboards_mp_extra2                Tiempo de juego: *T
multiwinia_leaderboards_cpus_beaten              *A CPUs derrotados
multiwinia_leaderboards_ppl_beaten               A* humanos derrotados


multiwinia_multiplayer_no                        No tienes los permisos adecuados para jugar a Multijugador

multiwinia_auth                                  Verificación
multiwinia_enterauthkey                          Introducir clave de verificación
multiwinia_menu_paste                            Pegar
multiwinia_menu_paste_tooltip                    Pegar la clave de la tabla

multiwinia_playeroptions                         Opciones de jugador
multiwinia_player_name                           Nombre de jugador

multiwinia_colour_green                          Verde
multiwinia_colour_red                            Rojo
multiwinia_colour_yellow                         Amarillo
multiwinia_colour_blue                           Azul
multiwinia_colour_orange                         Naranja
multiwinia_colour_cyan                           Cian
multiwinia_colour_purple                         Púrpura
multiwinia_colour_pink                           Rosa

multiwinia_menu_resettodefault                   Restablecer predeterminado

multiwinia_menu_normal                           Normal
multiwinia_menu_hard                             Difícil
multiwinia_menu_joining                          Uniéndose a la partida
multiwinia_menu_connecting                       Conectando
multiwinia_menu_attempts                         (Intento *T)
multiwinia_menu_connected                        CONECTADO
multiwinia_menu_resyncing                        Estableciendo comunicación *T%

multiwinia_menu_filters                          Filtros
multiwinia_menu_showdemogames                    Mostrar partidas demo
multiwinia_menu_showincompatible                 Mostrar partidas incompatibles
multiwinia_menu_showfull                         Mostrar partidas completas
multiwinia_menu_showcustom                       Mostrar mapas personalizados 
multiwinia_menu_showpasswords                    Mostrar partidas con clave

multiwinia_update_available                      Actualización disponible
multiwinia_menu_autopatch                        Ejecutar autoparche

multiwinia_passwordrequired                      Se necesita una clave para unirse a este servidor.\nIntroduzca la Clave
multiwinia_clicktokick                           Pulsar para expulsar al jugador

multiwinia_editor_mapfilename                    Nombre de archivo del mapa
multiwinia_editor_create                         Crear mapa nuevo
multiwinia_editor_edit                           Editar mapa existente
multiwinia_editor_change                         Cambiar mapa
